node_name,node_name_source,node_code,node_code_source,node_type,node_type_source,owner,owner_source,latitude,latitude_source,longitude,longitude_source,elevation,elevation_source,province,province_source,operating_region,operating_region_source,copper_balancing_area,copper_balancing_area_source,notes,notes_source
Beaumont,API,QC_BEM_DSS,API,Distribution,API,Hydro Qu̩bec,API,45.525015,API,-73.620434,API,65,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beauharnois-Ouest,API,QC_BEO_TSS,API,Terminal,API,Hydro Qu̩bec,API,45.313240,API,-73.917012,API,33,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beaulieu,API,QC_BEU_DSS,API,Distribution,API,Hydro Qu̩bec,API,45.334173,API,-71.845929,API,162,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beaulieu JCT,API,QC_BEU_JCT,API,Junction,API,Hydro Qu̩bec,API,45.260156,API,-71.919299,API,257,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bourget,API,QC_BGT_DSS,API,Distribution,API,Hydro Qu̩bec,API,46.806517,API,-71.155950,API,92,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bourget 1 JCT,API,QC_BGT1_JCT,API,Junction,API,Hydro Qu̩bec,API,46.774529,API,-71.111041,API,61,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bourget 2 JCT,API,QC_BGT2_JCT,API,Junction,API,Hydro Qu̩bec,API,46.775502,API,-71.110612,API,65,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bolduc,API,QC_BLD_DSS,API,Distribution,API,Hydro Qu̩bec,API,45.947705,API,-70.658348,API,244,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Boulevard-Labelle,API,QC_BLL_DSS,API,Distribution,API,Hydro Qu̩bec,API,45.656603,API,-73.852063,API,62,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Blainville,API,QC_BLV_DSS,API,Distribution,API,Hydro Qu̩bec,API,45.687802,API,-73.920082,API,61,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Blainville JCT,API,QC_BLV_JCT,API,Junction,API,Hydro Qu̩bec,API,45.655477,API,-73.948887,API,61,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Boralex,API,QC_BLX_ISS,API,Industrial,API,Hydro Qu̩bec,API,48.383535,API,-77.223932,API,307,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Beaumont GS,API,QC_BMT_GSS,API,Generation,API,Hydro Qu̩bec,API,47.555923,API,-72.836714,API,246,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Henri-Bourassa,API,QC_BOU_DSS,API,Distribution,API,Hydro Qu̩bec,API,45.639309,API,-73.563867,API,41,API,QC,API,Quebec,API,Quebec.a,API,Name changed from Bourassa to Henri-Bourassa,API
